,customer_code,Days since last sales,Customer age in days,Recencia,Nro Sku,Frecuency,Indicator key
93,46212discarvi216761220010,100.0,91.0,73.0,0.0,14.0,2.0
94,41123discarvi218107680012,100.0,40.0,95.5,56.5,40.0,27.0
95,46270discarvi219494150010,63.0,36.0,0.0,0.0,0.0,
96,44088discarvi11111111,97.5,71.0,94.0,12.5,24.5,0.0
97,24037discarvi216489210014,69.0,89.0,74.5,66.0,62.5,
98,4015discarvi,95.5,100.0,90.5,87.5,40.0,13.0
99,44069discarvi020482700011,67.0,85.0,84.0,35.5,13.5,16.0
100,46151discarvi217415500017,97.5,97.5,88.0,15.0,16.5,0.0
101,12215discarvi219066580017,100.0,95.0,91.5,86.0,36.5,53.0
102,41212discarvi217257860018,71.0,27.0,7.5,0.0,0.0,
103,44123discarvi217481090018,100.0,25.0,95.0,25.5,25.5,10.0
104,29654discarvi218419820014,100.0,48.5,92.5,8.0,28.5,8.0
105,46261discarvi218722780015,100.0,52.0,97.0,97.0,39.5,9.0
106,20137discarvi215284920011,100.0,100.0,86.0,87.5,86.0,57.0
107,29607discarvi215081950013,98.0,93.5,84.5,0.0,37.5,2.0
108,29668discarvi214947760019,74.0,27.5,83.5,11.5,1.5,1.0
109,46249discarvi218568370010,100.0,64.0,96.5,23.5,39.5,1.0
110,44136discarvi217434160013,96.0,21.0,93.5,20.0,13.5,7.0
111,41222discarvi218957310019,100.0,17.0,73.0,43.0,32.5,24.0
112,46278discarvi219435320010,96.0,28.0,87.0,12.5,3.5,0.0
113,24142discarvi210172100011,100.0,100.0,92.5,100.0,58.0,11.0
114,27012discarvi213341610016,100.0,95.0,93.5,45.0,29.0,11.0
115,46283discarvi218399510015,100.0,18.0,48.0,16.5,17.5,6.0
116,41024discarvi,100.0,100.0,93.5,12.5,37.0,3.0
117,41131discarvi218808820015,90.0,100.0,80.5,0.0,10.0,0.0
118,46237discarvi216145640018,100.0,71.0,81.0,15.0,7.5,0.0
119,29066discarvi216706640011,97.0,39.0,89.5,15.0,15.0,4.0
120,17377discarvi215136720014,91.0,100.0,0.0,81.5,36.0,34.0
121,46219discarvi217274650018,94.0,78.0,60.5,12.5,10.0,2.0
122,44138discarvi210673260011,100.0,13.0,65.5,56.5,20.0,33.0
123,46248discarvi217134140017,97.0,64.0,42.0,18.5,4.5,0.0
124,44102discarvi218904170018,97.0,50.0,82.5,25.0,6.0,2.0
125,12225discarvi214211910018,100.0,96.0,82.5,91.5,62.0,60.0
126,29183discarvi211457440013,88.0,100.0,82.5,47.5,59.0,55.0
127,46112discarvi218172300016,100.0,89.0,92.5,67.5,85.0,14.0
128,29614discarvi211223740010,100.0,94.5,88.5,0.0,17.0,22.0
129,29024discarvi214954100010,95.5,97.5,87.5,52.5,68.0,26.0
130,12297discarvi213626870016,100.0,96.0,97.5,78.0,96.0,33.0
131,52008discarvi213217480017,97.0,51.0,74.0,28.5,3.5,0.0
132,46113discarvi216905460013,100.0,88.0,92.5,54.0,83.5,18.0
133,45073discarvi213302150018,100.0,89.5,93.5,96.0,79.0,41.0
134,27043discarvi110301220011,96.5,100.0,90.0,72.5,55.0,23.0
135,24267discarvi215079390014,100.0,98.0,97.5,100.0,93.0,55.0
136,45060discarvi110118590018,92.5,95.5,90.0,16.5,91.5,45.0
137,46189discarvi210156590018,100.0,87.0,88.5,53.5,47.0,27.0
138,46009discarvi211309990015,88.0,100.0,75.0,100.0,43.0,73.0
139,12375discarvi218318030018,97.0,97.5,62.5,67.5,40.0,17.0
140,41150discarvi213313200011,100.0,0.0,64.0,60.0,8.5,31.0
141,29612discarvi217594820011,100.0,100.0,8.5,100.0,42.0,48.0
142,12216discarvi214123870014,100.0,81.0,100.0,92.5,86.0,100.0
143,2463discarvi216614620014,97.0,100.0,81.0,55.0,100.0,20.0
144,29665discarvi216633870012,0.0,6.5,9.0,0.0,1.0,
145,29601discarvi215539950018,100.0,89.5,75.5,63.5,38.5,16.0
146,21193discarvi214421990018,100.0,100.0,89.5,67.5,66.0,7.0
147,24259discarvi215929290012,97.5,100.0,92.5,60.0,64.0,2.0
148,41062discarvi210704400014,100.0,92.0,86.5,59.0,54.0,33.0
149,46003discarvi218068030016,100.0,95.0,95.5,100.0,47.0,33.0
150,24276discarvi216423960015,96.0,86.0,87.5,51.0,28.5,36.0
151,12328discarvi214133510010,100.0,100.0,77.5,67.5,55.5,13.0
152,46200discarvi217997950010,26.0,82.0,97.5,23.5,8.5,0.0
153,44018discarvi215368210015,90.5,98.0,75.5,69.5,12.0,50.0
154,29623discarvi217439210019,43.0,88.0,72.0,37.0,5.5,0.0
155,29632discarvi47182928,34.5,80.0,89.0,15.0,2.5,0.0
156,46206discarvi215066090017,27.0,81.0,94.5,23.5,3.5,0.0
157,12363discarvi218793890018,97.5,96.0,85.5,33.0,12.0,4.0
158,29631discarvi218397670015,41.0,80.0,97.5,12.5,19.5,0.0
159,46194discarvi218377360010,72.0,84.0,93.0,28.5,17.5,1.0
160,44107discarvi219308070015,97.5,50.5,95.5,32.5,54.5,29.0
161,12188discarvi217472180018,0.0,54.0,14.0,0.0,10.0,0.0
162,24032discarvi,96.0,98.0,83.5,21.0,34.0,3.0
163,12185discarvi214401220012,100.0,57.0,85.0,42.0,78.0,57.0
164,44093discarvi218569460013,96.5,64.0,89.0,20.0,25.5,9.0
165,29211discarvi080062780016,46.0,100.0,75.0,100.0,100.0,100.0
166,41221discarvi217808430014,97.0,20.5,95.0,32.5,19.5,15.0
167,29639discarvi219360540019,75.0,65.0,70.5,73.0,6.0,0.0
168,44032discarvi215368210015,94.0,98.0,76.5,66.0,12.0,37.0
169,46106discarvi217871740017,98.0,100.0,81.0,61.0,63.0,4.0
170,46157discarvi217871740017,98.0,96.0,81.0,70.0,63.0,6.0
171,12373discarvi216905460013,10.0,46.0,91.5,4.0,0.0,0.0
172,299discarvi213429320013,100.0,98.0,97.0,100.0,100.0,100.0
173,12258discarvi215157570011,100.0,97.0,87.5,35.0,71.0,27.0
174,41176discarvi219344280016,94.0,64.0,90.5,73.5,26.5,18.0
175,160discarvi215462670016,100.0,100.0,93.5,31.5,92.0,7.0
176,2448discarvi218636880015,100.0,97.5,95.0,63.5,89.5,28.0
177,41157discarvi214089880016,95.0,81.5,61.5,0.0,10.0,1.0
178,41211discarvi217239770010,100.0,26.0,94.0,25.5,20.5,16.0
179,41178discarvi49333729,96.5,66.5,60.0,66.0,7.0,0.0
180,17253discarvi213710210013,100.0,100.0,92.5,78.0,83.0,22.0
181,12387discarvi213337200011,100.0,98.0,84.5,100.0,37.0,46.0
182,46148discarvi217650550010,0.0,100.0,0.0,0.0,0.0,
183,46121discarvi213630310011,23.5,97.5,90.5,25.5,10.5,1.0
184,29218discarvi216590700013,2.0,95.0,88.0,5.0,0.0,0.0
185,27044discarvi217372460019,100.0,100.0,81.5,16.0,10.0,0.0
186,29588discarvi219169020014,98.0,93.5,82.5,33.0,10.0,1.0
187,29609discarvi218932670011,0.0,100.0,0.0,45.0,0.0,0.0
188,29177discarvi216635580011,7.0,96.5,80.5,0.0,0.0,0.0
189,29219discarvi219366350017,84.0,100.0,64.0,0.0,10.0,20.0
190,17379discarvi215247340015,100.0,99.0,88.5,85.0,51.0,31.0
191,12200discarvi214861470012,85.0,0.0,74.5,100.0,61.0,0.0
192,44054discarvi218996120012,96.5,95.0,89.5,29.0,19.0,3.0
193,44071discarvi218909350014,42.0,83.0,82.5,0.0,10.0,0.0
194,24048discarvi210240970012,15.0,82.5,0.0,0.0,0.0,
195,44013discarvi217757910014,19.0,82.0,77.5,0.0,0.0,0.0
196,41064discarvi214872580019,100.0,100.0,97.5,65.0,100.0,100.0
197,29524discarvi216635580011,0.0,85.0,89.5,0.0,4.0,0.0
198,12191discarvi210410440019,100.0,81.5,84.0,100.0,44.5,20.0
199,44092discarvi219120750019,98.0,66.0,94.5,27.0,54.5,30.0
200,24103discarvi213046030012,97.0,100.0,92.0,20.0,50.5,22.0
201,12217discarvi214887970012,100.0,89.0,99.0,74.5,77.0,35.0
202,45112discarvi060029250017,98.0,84.0,86.0,23.0,10.0,1.0
203,46231discarvi45052254,39.0,75.5,67.0,0.0,0.0,10.5
204,24205discarvi212367430017,100.0,96.0,88.0,72.0,98.0,69.0
205,46257discarvi52997839,90.0,57.0,79.5,0.0,25.0,37.0
206,12391discarvi214353080015,100.0,78.5,92.5,36.0,53.0,19.0
207,44084discarvi218312620018,94.5,73.0,74.5,11.0,55.0,3.0
208,700discarvi,51.0,51.0,92.0,0.0,0.0,7.5
209,41114discarvi,97.5,91.0,91.5,20.0,44.5,10.0
210,41191discarvi218179270015,100.0,49.0,93.5,50.0,55.0,10.0
211,41138discarvi213294450011,98.0,100.0,95.5,84.0,100.0,58.0
212,31525discarvi,84.5,100.0,93.5,66.0,37.0,8.0
213,46175discarvi52108852,85.0,89.0,80.5,100.0,25.0,65.5
214,180discarvi216693410018,100.0,92.0,91.5,17.5,64.0,8.0
215,29606discarvi43203540,100.0,92.0,82.0,18.0,25.0,1.0
216,44119discarvi218676140012,100.0,30.0,96.0,0.0,21.0,5.0
217,41220discarvi219237450015,75.0,18.0,94.5,0.0,3.0,0.0
218,19035discarvi215113750014,92.0,92.0,90.0,83.0,45.0,62.0
219,29616discarvi216680850014,81.0,90.0,94.0,63.5,53.5,22.0
220,44141discarvi219158050014,82.0,19.0,87.5,4.5,1.5,0.0
221,31535discarvi37036424,58.5,89.0,0.0,0.0,0.5,0.0
222,46156discarvi219026250016,23.0,96.5,85.5,15.0,2.5,0.0
223,21041discarvi215232420018,53.5,97.0,93.0,7.5,15.5,0.0
224,44087discarvi1111111,32.0,72.0,94.0,7.5,1.5,0.0
225,16390discarvi217927620011,74.0,56.0,98.0,7.5,30.5,4.0
226,52001discarvi210364140011,58.5,48.0,92.0,15.0,1.5,0.0
227,52006discarvi210000980013,95.0,49.0,96.5,28.5,28.5,1.0
228,45017discarvi214557980014,96.0,49.0,94.0,15.0,17.5,1.0
229,43061discarvi217745330018,97.0,43.0,91.0,12.5,9.5,0.0
230,52025discarvi214841020011,97.0,46.0,95.0,28.5,18.5,0.0
231,51026discarvi218062430012,87.0,35.0,88.0,0.0,3.5,0.0
232,52052discarvi40938409,75.0,28.5,89.0,12.5,0.5,0.0
233,51037discarvi110418080015,82.5,20.0,92.0,15.0,0.5,0.0
234,52038discarvi218055420015,99.0,40.0,98.0,70.5,51.5,1.0
235,52044discarvi219382490014,96.0,36.0,96.0,36.0,17.5,0.0
236,53008discarvi219300970017,96.0,17.0,85.0,12.5,1.5,0.0
237,52015discarvi213648460015,83.0,49.0,65.5,12.5,1.5,0.0
238,52013discarvi47146831,98.0,49.0,85.5,7.5,6.5,0.0
239,52007discarvi214224660015,97.5,51.0,97.0,100.0,40.5,3.0
240,45015discarvi217519880010,94.0,36.0,68.0,12.5,1.5,1.0
241,52076discarvi218073580010,95.5,11.0,96.0,70.5,3.5,3.0
242,52093discarvi219177420018,100.0,0.0,7.5,0.0,0.0,
243,31515discarvi217990680018,4.0,98.0,94.0,9.0,0.0,1.0
244,41144discarvi48061262,97.0,97.0,94.0,22.5,10.0,2.0
245,17093discarvi215950740013,97.0,100.0,97.5,37.5,29.0,10.0
246,44049discarvi219331480011,97.0,98.0,97.0,64.5,25.0,19.0
247,17173discarvi216683230017,100.0,100.0,97.0,22.5,23.5,3.0
248,25014discarvi215527760014,34.0,97.0,86.0,12.0,1.0,0.0
249,41147discarvi46472271,17.0,95.0,97.0,12.0,2.5,0.0
250,46115discarvi218572830012,98.0,97.0,98.0,82.5,31.5,22.0
251,29617discarvi218396840014,4.0,93.5,12.0,0.0,0.0,
252,24171discarvi217087750012,18.0,100.0,97.0,28.5,3.5,0.0
253,4484discarvi214347120019,96.0,100.0,93.0,12.0,9.0,1.0
254,41149discarvi215777360013,62.0,88.0,94.0,6.0,5.5,0.0
255,29003discarvi218222740014,14.0,92.0,96.0,9.0,1.0,0.0
256,24248discarvi212672410016,36.0,94.0,96.0,37.5,5.5,6.0
257,44086discarvi217718760015,72.0,71.0,95.0,31.5,6.0,1.0
258,29194discarvi212570880013,41.5,90.0,93.0,9.0,2.5,1.0
259,4412discarvi216941630012,88.5,100.0,96.0,52.5,15.5,3.0
260,41152discarvi217782570019,98.0,88.0,98.0,70.5,41.5,22.0
261,44001discarvi216344560014,100.0,98.0,98.0,73.5,37.0,16.0
262,17108discarvi216751140014,98.0,100.0,98.0,43.5,32.5,10.0
263,42210discarvi219199670017,100.0,73.0,96.0,43.5,15.0,3.0
264,29682discarvi219549840013,100.0,9.0,98.0,9.0,5.0,1.0
265,29112discarvi,13.0,99.0,97.0,22.5,3.0,1.0
266,21144discarvi,98.0,91.0,96.5,19.5,18.5,3.0
267,648discarvi,96.0,80.0,90.0,16.5,5.0,0.0
268,556discarvi,94.0,95.0,97.0,76.5,26.0,34.0
269,29147discarvi,96.5,100.0,97.5,100.0,29.0,7.0
270,29123discarvi,82.0,96.0,97.0,28.5,20.5,3.0
271,25012discarvi,95.0,77.5,91.0,9.0,5.5,0.0
272,41090discarvi,100.0,92.0,97.5,25.5,28.0,3.0
273,24006discarvi,90.0,89.0,87.0,25.5,3.5,0.0
274,18093discarvi,96.5,97.0,97.5,19.5,28.5,5.0
275,21207discarvi,77.0,95.0,95.0,3.0,10.5,1.0
276,41025discarvi,100.0,79.0,95.0,9.0,10.5,1.0
277,21209discarvi,97.5,96.0,96.0,3.0,16.5,2.0
278,555discarvi,96.0,70.0,88.0,12.0,3.0,3.0
279,12059discarvi,100.0,100.0,98.0,28.5,32.0,7.0
280,46167discarvi218735530012,80.0,93.0,97.0,28.5,60.5,1.0
281,21264discarvi210334480019,98.0,97.0,94.5,15.0,38.5,1.0
282,52037discarvi219342140012,97.0,40.0,96.0,36.0,19.5,0.0
283,51034discarvi35860207,72.0,26.5,100.0,12.5,0.5,0.0
284,52023discarvi219158820014,98.0,47.5,92.0,33.5,12.5,0.0
285,52054discarvi219314020016,100.0,26.0,96.0,28.5,13.5,0.0
286,29543discarvi217406910011,89.0,21.0,94.0,28.5,3.5,0.0
287,46235discarvi219403550010,100.0,72.5,96.0,12.5,42.5,1.0
288,52092discarvi14662903,97.0,1.5,0.0,0.0,0.0,
289,29198discarvi110321600014,2.0,95.5,9.0,0.0,0.0,
290,44046discarvi218956780011,100.0,100.0,98.0,98.0,52.5,100.0
291,24222discarvi215412670012,98.0,98.0,72.0,55.0,69.0,20.0
292,12190discarvi214003470019,80.0,82.5,100.0,38.0,89.0,27.0
293,29570discarvi218746150011,92.0,92.0,92.5,33.0,22.0,2.0
294,12182discarvi210389210013,27.5,100.0,98.0,95.0,100.0,100.0
295,29188discarvi216164960014,95.0,100.0,74.5,62.5,22.5,12.0
296,46168discarvi63991345,100.0,95.0,88.5,50.0,87.5,72.5
297,46150discarvi43646075,96.0,100.0,60.0,25.0,25.0,15.5
298,21024discarvi215165670011,97.5,100.0,94.0,34.5,10.5,13.0
299,29621discarvi218777720014,100.0,88.0,92.5,76.5,39.5,66.0
300,31091discarvi219593560012,100.0,93.0,69.5,22.0,57.0,27.0
301,27006discarvi215002240018,100.0,100.0,96.5,25.0,72.0,28.0
302,29519discarvi12141428,95.0,95.0,70.5,34.0,14.0,1.0
303,17278discarvi214163370012,100.0,94.0,96.0,28.5,17.0,4.0
304,31087discarvi212702350016,91.0,96.0,62.5,40.0,37.5,17.0
305,668discarvi,95.0,75.0,82.0,12.0,2.0,0.0
306,29504discarvi217932960011,44.0,93.0,82.0,65.0,10.0,1.0
307,24173discarvi215422470016,97.0,83.0,93.0,25.5,51.5,48.0
308,24206discarvi210352670010,98.0,82.5,88.0,63.0,30.0,15.0
309,29638discarvi218286750010,100.0,70.0,90.0,49.5,36.0,7.0
310,29184discarvi215053220014,100.0,100.0,97.5,63.0,100.0,52.0
311,29618discarvi214870860014,100.0,93.0,95.0,33.0,41.0,21.0
312,44100discarvi218862220012,53.0,80.5,0.0,15.0,1.0,
313,46251discarvi40925880,94.0,58.0,84.0,0.0,25.0,18.0
314,662discarvi,56.5,98.0,100.0,79.5,63.0,7.0
315,46183discarvi46184163,52.0,90.0,56.0,0.0,0.0,16.5
316,46154discarvi46895255,99.0,98.0,88.0,100.0,75.0,71.5
317,663discarvi,68.0,43.0,82.5,6.0,0.0,0.0
318,46179discarvi36978681,96.0,92.0,91.5,100.0,100.0,96.5
319,44072discarvi080271400011,97.5,83.0,93.5,75.0,100.0,100.0
320,18130discarvi216228330016,93.0,95.0,95.0,40.5,12.5,2.0
321,46272discarvi31863829,94.0,31.0,90.0,0.0,25.0,29.5
322,16253discarvi215926790014,100.0,91.0,96.0,16.5,15.5,10.0
323,46182discarvi41356848,100.0,91.0,90.0,100.0,100.0,100.0
324,46222discarvi219221150017,98.0,90.0,90.0,83.0,43.0,32.0
325,44097discarvi,100.0,54.0,91.5,15.0,12.0,3.0
326,584discarvi170090480012,89.0,98.0,0.0,11.0,16.0,5.0
327,46280discarvi36575227,87.0,24.5,71.0,0.0,0.0,21.5
328,46202discarvi215299870015,96.0,94.0,88.0,100.0,37.0,23.0
329,29085discarvi,98.0,69.0,96.0,43.5,13.5,5.0
330,41208discarvi48618461,100.0,31.0,97.0,6.0,8.5,1.0
331,52035discarvi45762524,89.0,41.0,83.5,33.5,3.5,0.0
332,29191discarvi215109020015,97.0,39.0,94.5,65.5,14.5,24.0
333,41181discarvi40994592,78.0,58.0,95.0,19.5,5.5,0.0
334,29646discarvi211057310015,28.0,49.5,6.0,90.0,7.5,15.0
335,50003discarvi215022180010,97.0,10.0,98.0,23.5,8.5,0.0
336,46293discarvi214921320011,100.0,9.5,90.0,33.0,9.0,4.0
337,24238discarvi213633740017,98.0,96.5,91.5,100.0,85.0,100.0
338,46059discarvi213979860010,100.0,92.0,95.0,80.5,87.5,48.0
339,41118discarvi,37.5,97.0,97.0,40.5,8.5,2.0
340,12209discarvi213236800013,100.0,81.5,75.5,47.5,37.5,4.0
341,44050discarvi218697230010,97.5,97.5,72.5,52.5,51.0,17.0
342,44098discarvi213337200011,92.0,56.0,74.5,31.5,10.0,8.0
343,24269discarvi213689000019,100.0,95.0,92.5,100.0,78.0,21.0
344,29642discarvi210362180016,100.0,20.0,85.0,57.0,15.0,2.0
345,29662discarvi210301960011,100.0,13.0,87.5,2.5,18.0,12.0
346,41168discarvi219086590018,100.0,56.0,85.5,72.5,25.0,7.0
347,29679discarvi217933530010,96.5,12.0,87.5,22.0,18.0,18.0
348,29644discarvi216376710011,100.0,58.0,71.0,74.5,80.0,100.0
349,46146discarvi218009840015,100.0,100.0,91.5,50.0,84.0,20.0
350,17380discarvi211987100015,90.0,88.0,89.0,32.0,78.0,28.0
351,29663discarvi215887340017,74.0,29.0,77.0,11.5,1.5,1.0
352,44096discarvi219137960011,100.0,61.0,69.0,16.5,9.0,8.0
353,44134discarvi215270140019,100.0,18.0,62.0,56.5,25.0,13.0
354,24014discarvi190332690018,100.0,90.0,87.5,29.0,14.0,5.0
355,53007discarvi217794660018,100.0,13.5,96.0,0.0,11.5,6.0
356,44143discarvi218742560010,63.0,12.0,0.0,29.5,2.0,3.0
357,46321discarvi213897280010,97.0,0.0,100.0,18.5,1.5,1.0
358,44080discarvi219273450011,97.5,78.5,87.5,0.0,40.0,13.0
359,29531discarvi219650220017,100.0,92.0,84.0,59.0,27.0,0.0
360,46054discarvi217841250011,100.0,95.5,92.0,76.5,59.0,1.0
361,46218discarvi214856270019,96.0,79.0,97.0,9.0,19.0,27.5
362,46287discarvi210308510011,100.0,22.0,98.0,0.0,31.5,1.0
363,46318discarvi219622120011,96.0,3.0,0.0,0.0,0.0,
364,12242discarvi210143960016,100.0,100.0,92.5,100.0,78.0,100.0
365,12210discarvi211495130018,98.0,100.0,74.0,57.0,21.5,13.0
366,17255discarvi215288410018,0.0,100.0,90.0,31.5,10.0,7.0
367,689discarvi215345260016,8.5,93.5,98.0,22.5,1.5,14.0
368,12135discarvi215345260016,100.0,92.0,87.0,80.0,83.5,21.0
369,29528discarvi214920890019,100.0,95.0,97.5,72.0,95.0,100.0
370,12213discarvi211428340014,16.0,80.0,0.0,0.0,2.5,1.0
371,29351discarvi215459170016,100.0,98.0,92.5,46.0,79.0,28.0
372,12249discarvi215768280010,98.0,92.5,66.5,63.0,33.0,11.0
373,44077discarvi213452870016,95.0,80.0,78.5,25.0,20.0,23.0
374,31520discarvi217607910019,96.0,98.0,82.0,44.5,21.0,11.0
375,44057discarvi218091290010,96.0,83.0,83.5,60.0,21.0,3.0
376,44109discarvi219294350016,50.0,44.0,0.0,0.0,0.0,
377,44089discarvi219335030010,100.0,68.5,83.0,38.5,25.0,5.0
378,45109discarvi214878310013,58.0,68.5,90.0,50.0,82.5,28.0
379,41039discarvi213603060018,100.0,96.0,89.5,23.5,38.0,5.0
380,156discarvi214245250010,45.0,100.0,96.0,25.5,8.0,1.0
381,44039discarvi218709470016,96.0,97.5,61.0,78.0,30.0,11.0
382,12254discarvi214493550014,100.0,83.0,85.0,47.0,26.0,3.0
