customer_code,Days since last sales,Customer age in days,Recencia,Nro Sku,Frecuency,Indicator key
232recoleta216894120017,71.0,20.0,0.0,0.0,0.0,
1323recoleta212728180010,100.0,100.0,96.0,0.0,100.0,22.0
298recoleta213302150018,100.0,96.5,94.0,0.0,100.0,28.0
207recoleta210704400014,92.0,27.0,51.5,50.0,8.0,77.0
793recoleta213236800013,93.0,49.5,0.0,0.0,0.0,1.0
952recoleta216468960014,100.0,100.0,97.5,0.0,100.0,100.0
1414recoleta216068730011,100.0,100.0,94.5,0.0,54.5,30.0
394recoleta215905060017,0.0,96.5,0.0,0.0,0.0,
1442recoleta216740980016,34.0,78.5,98.0,35.0,11.0,34.0
2149recoleta214426880016,12.0,100.0,66.0,0.0,0.0,0.0
106recoleta215460340019,30.0,93.5,84.0,0.0,5.5,0.0
781recoleta217841250011,0.0,2.0,39.0,0.0,0.0,0.0
354recoleta211388120019,45.0,25.0,0.0,0.0,0.0,
1009recoleta217224750019,73.0,31.0,86.0,0.0,0.0,1.0
107recoleta212199370016,1.0,98.0,95.0,15.0,0.5,0.0
1430recoleta214709310016,100.0,98.0,93.5,45.0,19.0,16.0
1094recoleta212101620019,100.0,100.0,95.0,55.0,26.0,3.0
1434recoleta212733320011,100.0,85.0,99.0,65.0,100.0,18.0
125recoleta215541080017,95.0,100.0,89.0,45.0,10.5,0.0
1910recoleta219414890012,95.0,45.0,88.5,15.0,4.5,0.0
173recoleta215054660018,71.0,98.0,92.0,55.0,11.0,7.0
1826recoleta211476510013,86.0,24.0,97.0,25.0,8.0,5.0
2021recoleta219181680010,98.0,100.0,97.5,100.0,49.0,54.0
1844recoleta213300370010,83.0,21.0,0.0,0.0,0.0,4.0
269recoleta45062263,74.0,10.0,94.5,0.0,2.0,3.0
965recoleta218860850019,97.5,98.0,96.0,25.0,29.5,0.0
830recoleta210352670010,78.0,97.0,88.5,0.0,38.5,6.0
164recoleta216990230014,68.5,95.0,65.0,5.0,1.5,0.0
1688recoleta218139510015,96.0,100.0,97.5,65.0,53.5,8.0
137recoleta212086000019,81.0,100.0,92.5,5.0,13.0,4.0
253recoleta219367950018,100.0,79.5,89.0,15.0,8.5,0.0
417/24recoleta210297450018,98.0,100.0,76.5,100.0,28.0,3.0
406/11recoleta210274130017,100.0,100.0,89.5,100.0,66.0,7.0
130recoleta213428330015,93.0,100.0,93.5,100.0,100.0,11.0
417/22recoleta210297450018,100.0,97.0,88.0,100.0,56.5,5.0
406/4recoleta210274130017,95.0,100.0,77.5,100.0,28.0,3.0
406/7recoleta210274130017,93.0,94.5,75.5,100.0,21.5,2.0
417/19recoleta210297450018,100.0,95.0,75.5,100.0,25.0,2.0
406/2recoleta210274130017,87.0,95.0,87.0,50.0,43.0,4.0
406/17recoleta210274130017,100.0,100.0,87.5,100.0,53.0,7.0
406/30recoleta210274130017,97.5,100.0,87.0,100.0,50.0,4.0
417/12recoleta210297450018,98.0,97.5,87.0,100.0,50.0,5.5
417/10recoleta210297450018,91.0,97.0,84.5,50.0,37.0,3.0
417/7recoleta210297450018,98.0,91.5,90.0,100.0,60.0,7.0
417/15recoleta210297450018,97.5,98.0,88.0,100.0,56.0,5.0
406/27recoleta210274130017,100.0,98.0,91.5,100.0,80.0,6.0
406/1recoleta210274130017,98.0,97.5,81.5,100.0,37.0,3.0
417/6recoleta210297450018,78.0,95.5,83.0,100.0,31.0,2.0
406/24recoleta210274130017,92.0,100.0,72.5,50.0,18.0,1.0
417/16recoleta210297450018,100.0,97.5,81.5,100.0,37.0,5.0
406/9recoleta210274130017,100.0,90.5,81.5,100.0,34.0,2.0
417/11recoleta210297450018,89.0,88.0,90.0,100.0,56.0,5.0
417/23recoleta210297450018,100.0,100.0,78.0,100.0,31.0,2.0
255recoleta210389210013,53.0,46.0,85.5,0.0,0.0,0.0
383/16recoleta214214350013,100.0,100.0,90.0,100.0,70.0,7.0
383/12recoleta214214350013,100.0,100.0,88.5,50.0,60.0,5.0
383/8recoleta214214350013,100.0,97.0,88.5,50.0,55.0,5.0
383/21recoleta214214350013,83.0,97.5,91.5,100.0,70.0,10.0
383/3recoleta214214350013,92.0,95.0,94.0,100.0,100.0,9.0
383/15recoleta214214350013,100.0,96.0,93.0,100.0,100.0,6.0
383/18recoleta214214350013,100.0,97.0,90.0,100.0,65.0,6.0
383/6recoleta214214350013,86.0,91.0,91.0,50.0,60.0,4.0
383/20recoleta214214350013,88.0,98.0,90.5,100.0,65.0,6.0
383/24recoleta214214350013,38.5,50.0,50.0,0.0,0.0,
383/25recoleta214214350013,89.0,38.0,77.0,100.0,5.0,1.0
383/4recoleta214214350013,100.0,26.0,69.0,0.0,0.0,0.0
383/26recoleta214214350013,100.0,20.5,49.0,50.0,0.0,0.0
383/28recoleta214214350013,100.0,0.0,98.0,0.0,5.0,
417/1recoleta210297450018,94.0,97.0,88.0,100.0,53.0,3.0
417/2recoleta210297450018,71.0,83.0,68.0,100.0,9.0,0.0
417/4recoleta210297450018,96.5,97.0,55.5,100.0,12.0,1.0
406/20recoleta210274130017,93.5,93.0,85.0,100.0,40.0,3.0
417/3recoleta210297450018,45.0,46.0,0.0,0.0,0.0,
406/13recoleta210274130017,67.0,91.5,79.5,100.0,18.0,1.0
52recoleta217682800012,59.0,100.0,72.0,0.0,11.0,1.0
1187recoleta211911600017,67.0,98.0,77.0,0.0,20.0,1.0
323recoleta213635700012,45.5,92.0,6.5,0.0,0.0,0.0
1693recoleta215241030014,100.0,100.0,96.0,45.0,32.0,34.0
464recoleta211569920017,62.0,80.0,80.5,15.0,2.5,0.0
310recoleta216108440019,100.0,68.0,88.0,15.0,7.0,8.0
1212recoleta212667900019,78.5,95.0,84.0,0.0,22.0,1.0
1647recoleta215404520015,85.0,95.0,84.5,100.0,60.0,54.0
406/3recoleta210274130017,85.5,100.0,90.5,25.0,60.0,6.0
406/6recoleta210274130017,98.0,100.0,81.5,50.0,37.0,3.0
406/12recoleta210274130017,96.0,100.0,89.5,50.0,60.0,6.0
406/16recoleta210274130017,76.0,97.5,81.5,25.0,28.0,3.0
406/25recoleta210274130017,77.0,98.0,83.5,50.0,31.0,3.0
406/10recoleta210274130017,100.0,96.0,83.0,50.0,37.0,3.5
406/21recoleta210274130017,93.0,96.5,89.5,50.0,56.5,5.0
406/22recoleta210274130017,69.0,92.0,85.5,50.0,31.0,2.0
406/15recoleta210274130017,89.0,89.0,75.5,25.0,18.0,2.0
417/21recoleta210297450018,92.0,98.0,85.0,50.0,40.0,4.0
417/20recoleta210297450018,93.0,97.0,88.0,50.0,53.0,5.0
417/8recoleta210297450018,87.0,96.5,74.5,25.0,18.0,2.0
417/25recoleta210297450018,92.0,96.0,81.0,50.0,31.0,3.0
417/18recoleta210297450018,85.5,91.5,62.0,25.0,12.0,1.0
383/17recoleta214214350013,0.0,83.5,0.0,0.0,0.0,
383/19recoleta214214350013,68.0,73.0,48.0,0.0,0.0,0.0
383/2recoleta214214350013,74.0,82.5,66.0,0.0,10.0,0.0
432/3recoleta210094030014,64.0,96.5,83.5,0.0,25.0,2.0
432/4recoleta210094030014,64.0,95.0,86.5,25.0,31.0,2.0
432/1recoleta210094030014,64.0,90.0,72.5,0.0,12.0,1.0
432/15recoleta210094030014,67.5,90.0,0.0,0.0,0.0,0.0
432/5recoleta210094030014,75.0,88.5,83.0,25.0,25.0,1.0
432/6recoleta210094030014,67.0,87.0,80.5,25.0,18.0,1.0
432/50recoleta210094030014,77.0,87.0,26.0,25.0,3.0,1.0
432/63recoleta210094030014,68.5,20.0,100.0,0.0,0.0,
432/65recoleta210094030014,74.0,13.0,0.0,0.0,0.0,
637recoleta214164290012,66.0,93.0,85.5,15.0,4.5,0.0
520recoleta214217090012,19.5,82.5,92.0,0.0,0.0,1.0
1322recoleta219117230018,65.5,88.0,88.0,0.0,34.0,9.0
776recoleta020412430015,14.0,82.0,96.0,0.0,24.0,11.0
1821recoleta219481480017,92.0,34.5,64.5,0.0,2.0,0.0
1871recoleta218658900019,95.0,0.0,94.0,0.0,0.0,0.0
319recoleta213622680018,7.0,91.5,95.5,5.0,0.5,1.0
1835recoleta218236340013,77.0,21.0,82.0,5.0,0.0,0.0
1846recoleta216098870016,84.5,10.5,77.0,0.0,0.0,8.0
1857recoleta218544100013,100.0,1.0,94.5,0.0,11.0,1.0
1860recoleta217905770010,100.0,1.0,90.5,0.0,2.0,0.0
1859recoleta218724590019,100.0,1.0,94.5,0.0,11.0,1.0
1856recoleta218109420018,100.0,0.0,96.0,0.0,9.5,1.0
1858recoleta217738340011,100.0,0.0,92.0,0.0,3.5,0.0
562/6recoleta210003270017,77.0,97.0,93.5,25.0,89.5,100.0
1383/21recoleta214214350013,21.5,71.0,85.0,0.0,0.0,1.0
383/1recoleta214214350013,23.5,63.0,0.0,0.0,,
1383/15recoleta214214350013,66.0,25.5,0.0,0.0,,
1431recoleta215180020014,96.0,98.0,92.5,25.0,16.0,20.0
75recoleta214928890018,100.0,98.0,94.0,15.0,20.0,37.0
87recoleta214695680016,100.0,100.0,88.5,25.0,10.5,1.0
927recoleta217990680018,95.0,95.0,86.0,15.0,7.5,8.0
1439recoleta217689860010,93.5,86.0,95.0,0.0,100.0,100.0
259recoleta45402439,92.5,100.0,92.0,45.0,13.5,6.0
921recoleta214920890019,88.0,69.0,95.5,55.0,17.0,53.0
920recoleta217704650018,38.0,53.5,5.0,0.0,0.0,
929recoleta215053220014,72.0,62.0,90.0,45.0,4.5,3.0
1333recoleta216476820013,64.0,41.0,71.0,5.0,0.0,1.0
645recoleta211694130018,95.0,96.0,90.5,15.0,11.5,2.0
510/4recoleta218692870011,88.0,10.0,90.0,5.0,0.5,0.0
1457recoleta219301590013,21.0,91.0,92.5,15.0,2.5,1.0
320recoleta218270050014,90.5,72.0,53.0,15.0,1.0,0.0
1862recoleta214353080015,97.0,100.0,25.0,0.0,0.0,14.0
297recoleta212549320012,100.0,97.0,77.0,5.0,4.5,2.0
30recoleta211597500019,33.5,91.0,34.5,0.0,0.0,
303/1recoleta218726600011,66.0,46.0,92.5,0.0,11.0,3.0
886recoleta218574410010,48.5,44.0,0.0,0.0,0.0,
21recoleta210145740013,53.0,39.0,38.5,0.0,0.0,0.0
1007/2recoleta218417750019,57.5,43.0,90.5,0.0,0.0,28.0
975recoleta210828660018,66.0,43.0,90.5,0.0,5.5,2.0
1374recoleta219276550017,51.0,42.0,0.0,0.0,0.0,
114recoleta212455710011,93.0,40.0,81.5,0.0,11.0,27.0
1636recoleta219169020014,53.0,38.0,5.0,0.0,1.0,
1637recoleta219064670019,51.0,37.0,0.0,0.0,76.0,
944recoleta218634420017,35.0,33.0,0.0,0.0,0.0,
584recoleta210713020016,66.5,34.5,95.5,0.0,11.0,9.0
371recoleta211738380014,63.0,33.0,90.5,0.0,0.0,1.0
2311recoleta213429320013,58.5,32.0,0.0,0.0,100.0,
213recoleta216446460019,12.5,0.0,0.0,0.0,70.5,
1088recoleta211383670010,95.0,25.0,92.5,0.0,22.0,4.0
1928recoleta219366350017,72.0,4.0,97.5,0.0,0.0,0.0
828recoleta217927620011,24.5,70.0,0.0,0.0,0.0,
1254/1recoleta218123560018,36.0,49.0,0.0,0.0,0.0,0.0
1076recoleta215926810015,12.0,51.5,0.0,0.0,0.0,
212recoleta217052630010,100.0,83.0,94.0,0.0,90.0,56.0
401recoleta218696810013,100.0,69.5,71.5,0.0,5.0,1.0
1612recoleta219215810019,93.5,67.5,91.5,0.0,45.5,26.0
856recoleta218472860017,74.0,83.0,76.5,0.0,11.0,3.0
1254recoleta218123560018,0.0,61.5,0.0,0.0,0.0,
825recoleta219291420013,100.0,68.5,97.5,0.0,81.0,100.0
2444recoleta210041940016,17.0,78.0,0.0,0.0,0.0,
694recoleta44928494,8.0,92.0,90.0,0.0,0.0,0.0
899recoleta217793040016,69.5,97.0,82.0,0.0,22.0,2.0
519recoleta212113780016,95.0,100.0,90.5,50.0,66.0,3.0
406/18recoleta210274130017,84.0,98.0,82.5,50.0,31.0,4.0
1029recoleta216531070017,94.0,98.0,69.0,0.0,11.0,0.0
160recoleta213458920015,83.0,97.0,85.5,50.0,37.0,7.0
565recoleta210716690012,87.0,96.0,90.5,100.0,60.0,8.0
518recoleta212113780016,91.0,97.5,94.0,50.0,93.5,5.0
417/5recoleta210297450018,100.0,95.5,80.0,50.0,31.0,3.0
406/23recoleta210274130017,95.0,96.0,90.5,100.0,66.0,7.0
925recoleta218698280011,80.0,95.0,88.0,35.0,7.5,1.0
790recoleta218393910011,89.0,19.0,37.0,0.0,2.0,0.0
2375recoleta214860420011,62.0,91.5,76.0,35.0,2.5,0.0
406/19recoleta210274130017,95.0,100.0,83.0,50.0,37.0,6.0
518/1recoleta212113780016,66.0,77.0,89.0,50.0,22.0,43.0
619/1recoleta217450120012,97.0,100.0,98.0,35.0,58.5,14.0
53recoleta214661590014,98.0,100.0,93.0,100.0,87.0,62.0
1818recoleta218498810017,92.0,37.5,90.0,35.0,4.0,0.0
575recoleta080282650014,85.0,33.0,81.5,50.0,6.0,2.0
470recoleta213597890018,91.0,98.0,85.0,50.0,33.0,100.0
432/12recoleta210094030014,64.5,95.0,81.0,0.0,18.0,1.0
432/40recoleta210094030014,61.0,91.0,39.5,0.0,3.0,0.0
406/26recoleta210274130017,81.0,90.0,75.5,50.0,18.0,2.0
432/9recoleta210094030014,67.5,79.0,57.5,0.0,6.0,0.0
70recoleta216450470015,63.5,95.0,94.0,35.0,12.0,1.0
885recoleta110436090019,85.5,100.0,95.0,25.0,22.5,32.0
34recoleta020246420019,100.0,100.0,97.5,75.0,51.0,26.0
268recoleta219357050014,81.5,10.5,55.0,0.0,0.0,0.0
746recoleta110412690016,97.0,97.5,91.5,25.0,13.0,29.0
985recoleta020064880014,94.0,97.0,89.5,15.0,10.5,13.0
1007recoleta216664090019,50.0,47.0,92.5,0.0,0.0,53.0
356recoleta020322970010,75.0,36.0,57.5,5.0,0.0,0.0
272recoleta219174870012,66.0,10.0,90.5,0.0,0.0,0.0
1863recoleta150687650014,77.0,0.0,0.0,0.0,0.0,
897recoleta110361030014,94.0,79.5,84.0,15.0,5.0,10.0
1297recoleta080126240017,53.0,77.0,81.5,5.0,1.5,8.0
1830recoleta020119840019,67.0,22.5,5.0,0.0,4.0,
158recoleta080049290019,0.0,0.0,100.0,0.0,0.0,100.0
472recoleta210274130017,87.0,96.5,78.0,25.0,25.0,3.0
406/8recoleta210274130017,0.0,96.0,0.0,0.0,,
432/7recoleta210094030014,4.0,91.0,0.0,0.0,0.0,
432/16recoleta218096710018,56.0,84.0,26.0,0.0,0.0,0.0
625recoleta090141570011,83.0,83.0,82.0,0.0,22.0,13.0
1827recoleta120307160018,88.0,12.0,77.0,5.0,0.0,0.0
417/9recoleta210297450018,88.0,0.0,95.5,0.0,0.0,
2041recoleta212582630017,96.0,0.0,0.0,0.0,0.0,
770recoleta217772660015,100.0,100.0,95.5,35.0,27.5,7.0
181recoleta217908710019,88.0,100.0,94.0,25.0,17.0,2.0
1523recoleta130032020013,51.0,98.0,94.0,55.0,10.5,6.0
1522recoleta130087660014,10.5,98.0,92.5,15.0,1.5,1.0
1598recoleta190237020019,97.5,98.0,92.0,75.0,14.5,82.0
1623recoleta218876400018,86.0,48.0,0.0,0.0,0.0,71.0
1621recoleta040533700018,95.0,94.0,95.0,45.0,23.5,18.0
695recoleta040437300012,14.0,79.0,5.0,0.0,0.0,
1700recoleta050112950015,30.0,75.0,74.5,5.0,0.0,2.0
930recoleta130146580018,100.0,94.0,94.5,45.0,22.5,12.0
928recoleta150386380018,100.0,95.0,92.0,25.0,13.5,20.0
1524recoleta010205300011,92.0,98.0,80.5,15.0,5.0,16.0
1441recoleta217767730019,97.5,65.0,92.5,65.0,11.0,5.0
1802recoleta150579200011,45.0,46.0,5.0,0.0,0.0,
1620recoleta040253090015,95.0,97.0,88.0,15.0,9.0,5.0
1702recoleta200176590016,51.0,40.0,5.0,0.0,0.0,
1622recoleta130051740018,100.0,97.0,92.5,45.0,16.0,15.0
1819recoleta140266200015,96.0,29.0,76.0,15.0,1.0,0.0
266recoleta120277940010,100.0,15.0,89.5,25.0,2.5,10.0
1567recoleta090220200012,95.0,9.0,69.0,15.0,0.0,0.0
1438recoleta170227870015,97.0,83.0,94.0,15.0,17.0,17.0
1525recoleta180291990015,100.0,98.0,96.5,55.0,36.0,30.0
196recoleta217281180013,98.0,100.0,97.5,65.0,54.5,37.0
1624recoleta100349190018,89.0,96.0,86.5,5.0,7.5,8.0
1521recoleta219399330015,84.5,98.0,78.0,5.0,4.0,2.0
1599recoleta219055080018,46.0,98.0,50.0,5.0,0.5,2.0
1566recoleta050215190013,96.0,73.0,89.5,5.0,8.0,5.0
981recoleta180145260016,97.0,98.0,95.0,35.0,25.0,17.0
1260recoleta190294310012,98.0,100.0,96.0,35.0,34.0,44.0
2056recoleta040542470011,97.0,98.0,95.5,85.0,26.0,17.0
1451recoleta070172930015,100.0,93.0,89.5,35.0,10.5,10.0
1668recoleta45693735,97.0,93.0,94.0,35.0,18.5,12.0
1813recoleta170207050012,98.0,100.0,97.0,85.0,42.0,49.0
606recoleta040455420016,100.0,97.0,97.0,55.0,46.0,47.0
1501recoleta120342200012,95.0,98.0,92.0,55.0,13.5,8.0
1496recoleta160130250015,27.0,85.0,96.0,35.0,5.5,3.0
699recoleta214441960017,73.0,96.0,94.0,55.0,14.5,100.0
590recoleta211328680018,97.0,43.0,95.0,55.0,11.5,63.0
223recoleta218471260016,81.0,19.0,88.5,25.0,0.5,5.0
306recoleta120277180016,96.5,98.0,90.0,25.0,11.0,4.0
1245recoleta040323810011,100.0,100.0,96.0,55.0,35.5,64.0
1791recoleta217364940015,88.0,0.0,5.0,0.0,0.0,
95recoleta180260860012,95.0,100.0,88.0,15.0,9.0,7.0
943recoleta120325440019,96.0,97.0,67.0,5.0,3.0,0.0
1112recoleta130173780014,58.5,100.0,95.0,35.0,15.5,1.0
540recoleta217591900014,95.0,95.0,51.5,5.0,1.5,4.0
1213recoleta150045690017,95.0,95.0,94.0,5.0,17.5,1.0
878recoleta214799780017,95.0,95.0,80.5,25.0,5.0,11.0
804recoleta190328450016,93.0,90.0,55.0,15.0,1.5,0.0
934recoleta070205230017,44.5,50.0,93.5,15.0,0.0,0.0
599recoleta070211190013,92.0,67.5,84.5,15.0,4.5,6.0
1404recoleta130179380018,93.0,41.0,95.5,15.0,11.5,1.0
871recoleta213895440010,67.5,22.0,5.0,0.0,0.0,
1790recoleta214288950014,98.0,96.0,94.0,25.0,19.5,2.0
765/1recoleta218807920016,77.0,54.0,80.0,5.0,1.5,0.0
765recoleta040292500016,88.0,6.0,88.0,5.0,0.0,0.0
910recoleta060100130015,46.0,47.0,98.0,15.0,0.5,0.0
1861recoleta219380570010,98.0,4.0,71.5,15.0,0.0,0.0
654recoleta180292210013,0.0,100.0,96.5,5.0,1.0,2.0
60recoleta090331040013,100.0,95.0,0.0,5.0,0.5,1.0
1214recoleta070090350015,0.0,80.0,0.0,0.0,100.0,
14recoleta180290160019,23.0,77.0,86.0,5.0,0.0,1.0
1632recoleta190137810018,43.0,54.0,88.0,5.0,0.0,1.0
704recoleta218271740014,96.5,42.0,90.0,5.0,5.0,5.0
1234recoleta130202560013,92.0,34.5,75.5,5.0,1.0,0.0
